category,name,description,status,price_ars,price_cents,source_page,raw_line
ESENCIAS,DEWEY COLAROMA DEWEY VAINILLA - BIDÓN 1 L,,sin_stock,,,2,DEWEY COLAROMA DEWEY VAINILLA - BIDÓN 1 L SIN STOCK
ESENCIAS,DEWEY COLAROMA DEWEY FRUTILLA SENSACIONES - BIDÓN 1 L,,priced,9800.0,980000,2,"DEWEY COLAROMA DEWEY FRUTILLA SENSACIONES - BIDÓN 1 L $9.800,00"
ESENCIAS,EMETH ESENCIA EMETH AROMA M - BIDÓN 5 L,,priced,10800.0,1080000,2,"EMETH ESENCIA EMETH AROMA M - BIDÓN 5 L $10.800,00"
ESENCIAS,EMETH ESENCIA EMETH AROMA M - BIDÓN 2 L,,priced,5400.0,540000,2,"EMETH ESENCIA EMETH AROMA M - BIDÓN 2 L $5.400,00"
ESENCIAS,EMETH ESENCIA EMETH VAINILLA - BIDÓN 5 L,,priced,5800.0,580000,2,"EMETH ESENCIA EMETH VAINILLA - BIDÓN 5 L $5.800,00"
ESENCIAS,EMETH ESENCIA EMETH VAINILLA - BIDÓN 2 L,,priced,3500.0,350000,2,"EMETH ESENCIA EMETH VAINILLA - BIDÓN 2 L $3.500,00"
ESENCIAS,EMETH ESENCIA EMETH AMARILLO - BIDÓN 2 L,,priced,4600.0,460000,2,"EMETH ESENCIA EMETH AMARILLO - BIDÓN 2 L $4.600,00"
ESENCIAS,EMETH ESENCIA EMETH LIMÓN - BIDÓN 2 L,,priced,4800.0,480000,2,"EMETH ESENCIA EMETH LIMÓN - BIDÓN 2 L $4.800,00"
ESENCIAS,EMETH ESENCIA EMETH ALMENDRA - BIDÓN 1 L,,priced,5100.0,510000,2,"EMETH ESENCIA EMETH ALMENDRA - BIDÓN 1 L $5.100,00"
ESENCIAS,EMETH ESENCIA EMETH AZAHAR - BIDÓN 1 L,,priced,5600.0,560000,2,"EMETH ESENCIA EMETH AZAHAR - BIDÓN 1 L $5.600,00"
ESENCIAS,EMETH ESENCIA EMETH BUDÍN - BIDÓN 1 L,,sin_stock,,,2,EMETH ESENCIA EMETH BUDÍN - BIDÓN 1 L SIN STOCK
ESENCIAS,EMETH ESENCIA EMETH COCO - BIDÓN 1 L,,priced,5000.0,500000,2,"EMETH ESENCIA EMETH COCO - BIDÓN 1 L $5.000,00"
ESENCIAS,EMETH ESENCIA EMETH NARANJA - BIDÓN 1 L,,priced,10000.0,1000000,2,"EMETH ESENCIA EMETH NARANJA - BIDÓN 1 L $10.000,00"
ESENCIAS,EMETH ESENCIA EMETH PAN DULCE - BIDÓN 1 L,,priced,5100.0,510000,2,"EMETH ESENCIA EMETH PAN DULCE - BIDÓN 1 L $5.100,00"
ESENCIAS,EMETH ESENCIA EMETH QUESO - BIDÓN 1 L,,priced,10200.0,1020000,2,"EMETH ESENCIA EMETH QUESO - BIDÓN 1 L $10.200,00"
